country,country_numeric
Afghanistan,4
Afrique du Sud,710
Albanie,8
Algérie,12
Allemagne,276
Andorre,20
Angola,24
Antigua-et-Barbuda,28
Arabie Saoudite,682
Argentine,32
Arménie,51
Australie,36
Autriche,40
Azerbaïdjan,31
Bahamas,44
Bahreïn,48
Bangladesh,50
Barbade,52
Belgique,56
Belize,84
Bénin,204
Bhoutan,64
Biélorussie,112
Birmanie (Myanmar),104
Bolivie,68
Bosnie-Herzégovine,70
Botswana,72
Brésil,76
Brunei,96
Bulgarie,100
Burkina Faso,854
Burundi,108
Cambodge,116
Cameroun,120
Canada,124
Cap-Vert,132
Chili,152
Chine,156
Chypre,196
Colombie,170
Comores,174
Congo,178
Corée du Nord,408
Corée du Sud,410
Costa Rica,188
Côte d'Ivoire,384
Croatie,191
Cuba,192
Danemark,208
Djibouti,262
Dominique,212
Égypte,818
Émirats Arabes Unis,784
Équateur,218
Érythrée,232
Espagne,724
Estonie,233
États-Unis,840
Eswatini,748
Éthiopie,231
Fidji,242
Finlande,246
France,250
Gabon,266
Gambie,270
Géorgie,268
Ghana,288
Grèce,300
Grenade,308
Guatemala,320
Guinée,324
Guinée-Bissau,624
Guinée Équatoriale,226
Guyana,328
Haïti,332
Honduras,340
Hongrie,348
Îles Marshall,584
Îles Salomon,90
Inde,356
Indonésie,360
Iran,364
Irak,368
Irlande,372
Islande,352
Israël,376
Italie,380
Jamaïque,388
Japon,392
Jordanie,400
Kazakhstan,398
Kenya,404
Kirghizistan,417
Kiribati,296
Koweït,414
Laos,418
Lesotho,426
Lettonie,428
Liban,422
Liberia,430
Libye,434
Liechtenstein,438
Lituanie,440
Luxembourg,442
Macédoine du Nord,807
Madagascar,450
Malaisie,458
Malawi,454
Maldives,462
Mali,466
Malte,470
Maroc,504
Maurice,480
Mauritanie,478
Mexique,484
Micronésie,583
Moldavie,498
Monaco,492
Mongolie,496
Monténégro,499
Mozambique,508
Namibie,516
Nauru,520
Népal,524
Nicaragua,558
Niger,562
Nigeria,566
Norvège,578
Nouvelle-Zélande,554
Oman,512
Ouganda,800
Ouzbékistan,860
Pakistan,586
Palaos,585
Panama,591
Papouasie-Nouvelle-Guinée,598
Paraguay,600
Pays-Bas,528
Pérou,604
Philippines,608
Pologne,616
Portugal,620
Qatar,634
République Centrafricaine,140
République Démocratique du Congo,180
République Dominicaine,214
République Tchèque,203
Roumanie,642
Royaume-Uni,826
Russie,643
Rwanda,646
Saint-Christophe-et-Niévès,659
Sainte-Lucie,662
Saint-Marin,674
Saint-Vincent-et-les-Grenadines,670
Îles Salomon,90
Salvador,222
Samoa,882
Sao Tomé-et-Principe,678
Sénégal,686
Serbie,688
Seychelles,690
Sierra Leone,694
Singapour,702
Slovaquie,703
Slovénie,705
Somalie,706
Soudan,729
Soudan du Sud,728
Sri Lanka,144
Suède,752
Suisse,756
Suriname,740
Syrie,760
Tadjikistan,762
Tanzanie,834
Tchad,148
Thaïlande,764
Timor Oriental,626
Togo,768
Tonga,776
Trinité-et-Tobago,780
Tunisie,788
Turkménistan,795
Turquie,792
Tuvalu,798
Ukraine,804
Uruguay,858
Vanuatu,548
Vatican,336
Venezuela,862
Viêt Nam,704
Yémen,887
Zambie,894
Zimbabwe,716
Îles Féroé,234
Groenland,304
Hong Kong,344
Macao,446
Porto Rico,630
Taïwan,158
Territoires Palestiniens,275
Samoa américaines,16
Guam,316
Îles Caïmans,136
Îles Mariannes du Nord,580
Îles Turques-et-Caïques,796
Îles Vierges Britanniques,92
Îles Vierges des États-Unis,850
Curaçao,531
Sint Maarten (partie néerlandaise),534
Aruba,533
